,종목명,현재가
0,삼성전자,"56,700"
1,SK하이닉스,"180,100"
2,LG에너지솔루션,"343,000"
3,삼성바이오로직스,"1,022,000"
4,현대차,"184,900"
5,삼성전자우,"46,875"
6,한화에어로스페이스,"774,000"
7,셀트리온,"160,300"
8,기아,"85,800"
9,HD현대중공업,"344,500"
10,KB금융,"77,200"
11,NAVER,"184,200"
12,한화오션,"78,600"
13,신한지주,"46,700"
14,현대모비스,"242,500"
15,메리츠금융지주,"113,100"
16,POSCO홀딩스,"257,500"
17,삼성물산,"114,900"
18,크래프톤,"363,500"
19,카카오,"39,000"
20,HMM,"19,230"
21,삼성화재,"348,000"
22,하나금융지주,"56,500"
23,HD한국조선해양,"223,500"
24,삼성생명,"78,800"
25,LG화학,"222,500"
26,한국전력,"23,900"
27,두산에너빌리티,"23,800"
28,SK이노베이션,"97,400"
29,고려아연,"680,000"
30,KT&G,"107,000"
31,삼성중공업,"14,460"
32,삼성SDI,"178,800"
33,SK텔레콤,"56,200"
34,우리금융지주,"16,130"
35,KT,"47,150"
36,LG전자,"70,800"
37,현대로템,"105,100"
38,기업은행,"14,280"
39,HD현대일렉트릭,"312,000"
40,SK스퀘어,"83,700"
41,포스코퓨처엠,"128,700"
42,LG,"63,000"
43,카카오뱅크,"20,750"
44,포스코인터내셔널,"54,600"
45,하이브,"225,000"
46,유한양행,"113,900"
47,삼성전기,"119,000"
48,삼성에스디에스,"114,700"
49,SK,"121,800"
