,가수 이름,노래 제목
0,G-DRAGON,G-DRAGON
1,조째즈,조째즈
2,WOODZ,WOODZ
3,제니 (JENNIE),제니 (JENNIE)
4,G-DRAGON,G-DRAGON
5,황가람,황가람
6,IVE (아이브),IVE (아이브)
7,aespa,aespa
8,BOYNEXTDOOR,BOYNEXTDOOR
9,로제 (ROSÉ),로제 (ROSÉ)
10,Bruno Mars,Bruno Mars
11,LE SSERAFIM (르세라핌),LE SSERAFIM (르세라핌)
12,오반(OVAN),오반(OVAN)
13,DAY6 (데이식스),DAY6 (데이식스)
14,IVE (아이브),IVE (아이브)
15,로제 (ROSÉ),로제 (ROSÉ)
16,로이킴,로이킴
17,이클립스 (ECLIPSE),이클립스 (ECLIPSE)
18,KiiiKiii (키키),KiiiKiii (키키)
19,G-DRAGON,G-DRAGON
20,황가람,황가람
21,G-DRAGON,G-DRAGON
22,이창섭,이창섭
23,DAY6 (데이식스),DAY6 (데이식스)
24,DAY6 (데이식스),DAY6 (데이식스)
25,임영웅,임영웅
26,aespa,aespa
27,Lady Gaga,Lady Gaga
28,Bruno Mars,Bruno Mars
29,AKMU (악뮤),AKMU (악뮤)
30,DAY6 (데이식스),DAY6 (데이식스)
31,이무진,이무진
32,BABYMONSTER,BABYMONSTER
33,PLAVE,PLAVE
34,순순희(지환),순순희(지환)
35,아이유,아이유
36,이예은,이예은
37,아샤트리,아샤트리
38,전건호,전건호
39,임영웅,임영웅
40,너드커넥션 (Nerd Connection),너드커넥션 (Nerd Connection)
41,aespa,aespa
42,임영웅,임영웅
43,이무진,이무진
44,QWER,QWER
45,성시경,성시경
46,G-DRAGON,G-DRAGON
47,멜로망스,멜로망스
48,Hearts2Hearts (하츠투하츠),Hearts2Hearts (하츠투하츠)
49,QWER,QWER
50,임영웅,임영웅
51,임재현,임재현
52,TWS (투어스),TWS (투어스)
53,PLAVE,PLAVE
54,임영웅,임영웅
55,폴킴,폴킴
56,PLAVE,PLAVE
57,잔나비,잔나비
58,임영웅,임영웅
59,이무진,이무진
60,아일릿(ILLIT),아일릿(ILLIT)
61,NewJeans,NewJeans
62,임영웅,임영웅
63,경서예지,경서예지
64,전건호,전건호
65,PLAVE,PLAVE
66,(여자)아이들,(여자)아이들
67,박재정,박재정
68,방탄소년단,방탄소년단
69,BOYNEXTDOOR,BOYNEXTDOOR
70,PLAVE,PLAVE
71,제니 (JENNIE),제니 (JENNIE)
72,프로미스나인,프로미스나인
73,IVE (아이브),IVE (아이브)
74,우디 (Woody),우디 (Woody)
75,범진,범진
76,재쓰비 (JAESSBEE),재쓰비 (JAESSBEE)
77,정국,정국
78,이영지,이영지
79,Crush,Crush
80,10CM,10CM
81,NewJeans,NewJeans
82,임영웅,임영웅
83,김민석,김민석
84,임영웅,임영웅
85,임영웅,임영웅
86,임영웅,임영웅
87,임영웅,임영웅
88,우디 (Woody),우디 (Woody)
89,NewJeans,NewJeans
90,송필근,송필근
91,j-hope,j-hope
92,Miguel,Miguel
93,aespa,aespa
94,순순희,순순희
95,KISS OF LIFE,KISS OF LIFE
96,DAY6 (데이식스),DAY6 (데이식스)
97,IVE (아이브),IVE (아이브)
98,G-DRAGON,G-DRAGON
99,임영웅,임영웅
100,NewJeans,NewJeans
101,로제 (ROSÉ),로제 (ROSÉ)
102,지수 (JISOO),지수 (JISOO)
103,KISS OF LIFE,KISS OF LIFE
104,태연 (TAEYEON),태연 (TAEYEON)
105,임영웅,임영웅
