,도시락 메뉴,가격
0,제육야채 감초고추장 비빔밥,"3,800원"
1,진달래,"8,000원"
2,해바라기,"10,000원"
3,매화,"10,500원"
4,돈치 고기고기,"6,100원"
5,돈까스도련님 고기고기,"6,600원"
6,새치 고기고기,"7,100원"
7,칠리 찹쌀탕수육도련님,"4,500원"
8,제육볶음,"4,700원"
9,한우 함박스테이크& 청양 토네이도 소세지,"8,900원"
10,돈까스도련님,"4,900원"
11,한우 함박스테이크&토네이도 소세지,"8,900원"
12,제육돈까스 도련님,"4,900원"
13,돈치스팸,"5,000원"
14,치킨제육,"5,000원"
15,소불고기,"5,700원"
16,믹스후라이,"6,000원"
17,동백,"6,200원"
18,송정식 떡갈비,"6,900원"
19,송정식 떡갈비 Ⅱ,"6,900원"
20,메가치킨제육,"7,800원"
21,치킨마요 김치찌개 정식,"7,100원"
22,치킨마요 부대찌개 정식,"7,600원"
23,빅치킨마요 김치찌개 정식,"7,700원"
24,빅치킨마요 부대찌개 정식,"8,200원"
25,제육 김치찌개 정식,"8,800원"
26,메가스팸마요,"5,900원"
27,스팸마요,"4,000원"
28,메가치킨마요,"6,200원"
29,왕치킨마요,"5,100원"
30,빅치킨마요,"4,400원"
31,치킨마요,"3,800원"
32,참치마요,"3,600원"
33,돈치마요,"4,100원"
34,돈까스 카레,"4,800원"
35,스팸 김치볶음밥,"4,900원"
36,김치볶음밥,"4,100원"
37,스팸 철판볶음밥,"4,900원"
38,소불고기 철판볶음밥,"5,100원"
39,묵은지 김치찌개,"5,000원"
40,부대찌개,"6,100원"
41,빅 제많덮(빅 제육 많이 덮밥),"6,900원"
42,제많덮(제육 많이 덮밥),"5,900원"
43,스페셜 하이라이스,"5,900원"
44,핫 치즈 닭갈비덮밥,"6,100원"
45,오리지널 치즈 닭갈비덮밥,"6,100원"
46,숯불직화구이 덮밥,"6,000원"
47,마파두부 덮밥,"5,000원"
48,왕카레돈까스덮밥,"6,100원"
49,새우돈까스 덮밥,"4,400원"
50,돈까스 덮밥,"4,300원"
51,소불고기 감초고추장 비빔밥,"5,700원"
52,시골제육 두부강된장 비빔밥,"5,500원"
53,참치야채 감초고추장 비빔밥,"3,800원"
54,튼튼도시락,"5,300원"
55,단품 묵은지 김치찌개,"4,400원"
56,단품 카레,"2,900원"
57,반찬 순살 고등어 간장구이,"3,900원"
58,단품 부대찌개,"4,900원"
59,반찬 치킨,"3,800원"
60,반찬 고기고기,"3,600원"
61,반찬 돈까스도련님,"4,100원"
62,반찬 제육볶음,"3,500원"
63,반찬 토네이도 소세지,"3,200원"
64,반찬 돈까스,"2,900원"
65,3종 미니반찬B,"1,300원"
66,3종 미니반찬A,"1,300원"
67,오징어젓갈,600원
68,한솥 두부강된장소스,"1,800원"
69,한솥 감초볶음고추장소스,500원
70,김치,500원
71,무말랭이 무침,500원
72,한솥밥,"1,000원"
73,현미밥,"1,700원"
74,케이준후라이,"1,900원"
75,해시 포테이토 스틱,"2,000원"
76,치즈버터 해시 포테이토 스틱,"2,200원"
77,허니버터 해시 포테이토 스틱,"2,200원"
78,미니 찹쌀탕수육,"2,300원"
79,뉴 감자고로케,"2,700원"
80,미니 찹쌀핫도그,"2,800원"
81,멘치카츠,"2,800원"
82,통현미 닭강정(소),"3,500원"
83,통현미 닭강정(중),"8,500원"
84,후라이드 순살(소)_양념치킨소스,"4,000원"
85,후라이드 순살(소)_케이준소스,"4,000원"
86,후라이드 순살(중),"7,500원"
87,"치킹 반반순살(양념, 후라이드)","16,900원"
88,치킹 반반순살(후라이드),"16,900원"
89,제주녹차 미니꿀호떡,"2,500원"
